Curso,Seccion,Semestre,Dia,Bloque,Sala
PROGRAMACIÓN AVANZADA,2,2,Lunes,1,304
PROGRAMACIÓN AVANZADA,4,2,Martes,2,No existe
COMUNICACIONES DIGITALES,1,7,Martes,4,201
INGENIERÍA DE SOFTWARE,1,7,Martes,1,No existe
PROGRAMACIÓN AVANZADA,2,2,Martes,1,511
PROGRAMACIÓN AVANZADA,3,2,Martes,2,415
PROGRAMACIÓN AVANZADA,9,2,Martes,4,101
PROGRAMACIÓN AVANZADA,8,2,Martes,3,206
INTELIGENCIA ARTIFICIAL,3,8,Martes,2,101
REDES DE DATOS,1,3,Martes,1,303
INTELIGENCIA ARTIFICIAL,3,8,Martes,2,AU1
INGENIERÍA DE SOFTWARE,2,7,Martes,2,207
PROGRAMACIÓN AVANZADA,2,2,Martes,2,203
INTELIGENCIA ARTIFICIAL,1,8,Martes,2,312
PROGRAMACIÓN,3,1,Martes,3,515
BASES DE DATOS AVANZADAS,2,5,Martes,1,AU2
COMUNICACIONES DIGITALES,2,7,Martes,3,202
PROGRAMACIÓN AVANZADA,9,2,Martes,3,No existe
PROGRAMACIÓN AVANZADA,3,2,Martes,1,No existe
PROGRAMACIÓN AVANZADA,6,2,Martes,1,313
DESARROLLO WEB Y MÓVIL,1,4,Martes,2,415
DESARROLLO WEB Y MÓVIL,1,4,Lunes,1,AU2
PROYECTO EN TICS II,1,8,Martes,3,AU1
SISTEMAS OPERATIVOS,2,6,Lunes,1,511
BASES DE DATOS,2,4,Martes,1,206
SISTEMAS DISTRIBUIDOS,2,7,Martes,2,AU2
PROGRAMACIÓN,2,1,Lunes,4,303
BASES DE DATOS,1,4,Martes,2,313
PROGRAMACIÓN,2,1,Martes,2,413
PROGRAMACIÓN AVANZADA,2,2,Martes,1,201
DESARROLLO WEB Y MÓVIL,1,4,Martes,1,511
No existe,No existe,No existe,Martes,2,No existe
PROGRAMACIÓN AVANZADA,8,2,Lunes,3,AU2
ESTRUCTURAS DE DATOS Y ALGORITMOS,3,3,Martes,4,No existe
REDES DE DATOS,1,3,Martes,4,202
BASES DE DATOS,2,4,Martes,1,AU1
DESARROLLO WEB Y MÓVIL,1,4,Martes,4,304
DESARROLLO WEB Y MÓVIL,1,4,Martes,4,402
DESARROLLO WEB Y MÓVIL,1,4,Martes,1,302
BASES DE DATOS,2,4,Lunes,2,513
PROGRAMACIÓN AVANZADA,6,2,Martes,4,314
PROGRAMACIÓN AVANZADA,8,2,Lunes,1,No existe
SISTEMAS DISTRIBUIDOS,2,7,Martes,1,No existe
PROGRAMACIÓN AVANZADA,6,2,Martes,4,313
PROYECTO EN TICS II,1,8,Martes,2,302
SISTEMAS OPERATIVOS,1,6,Lunes,3,515
PROGRAMACIÓN AVANZADA,6,2,Martes,3,201
INGENIERÍA DE SOFTWARE,1,7,Martes,4,413
ESTRUCTURAS DE DATOS Y ALGORITMOS,3,3,Martes,4,401
PROGRAMACIÓN,3,1,Martes,3,403
SISTEMAS DISTRIBUIDOS,2,7,Martes,1,No existe
SISTEMAS OPERATIVOS,2,6,Lunes,2,101
PROGRAMACIÓN AVANZADA,7,2,Martes,4,207
PROGRAMACIÓN AVANZADA,9,2,Martes,1,513
ESTRUCTURAS DE DATOS Y ALGORITMOS,3,3,Martes,4,415
BASES DE DATOS,1,4,Martes,4,314
INTELIGENCIA ARTIFICIAL,3,8,Lunes,2,No existe
BASES DE DATOS,1,4,Lunes,1,312
PROGRAMACIÓN AVANZADA,4,2,Martes,1,415
PROYECTO EN TICS II,1,8,Lunes,1,402
